,mes,dia,dia_sem,hora,g_hora,area,dept,muni,sexo,edad,g_edad,mayor_menor,delito,g_delitos
0,1,1,7,3,1,2,1,115,1,22,5,1,69,4
1,1,1,7,19,4,2,2,207,1,24,5,1,69,4
2,1,2,1,8,2,2,19,1901,1,35,8,1,75,3
3,1,2,1,18,4,1,5,501,1,27,6,1,75,3
4,1,2,1,12,3,2,10,1001,1,62,13,1,75,3
5,1,2,1,7,2,2,10,1001,1,37,8,1,69,4
6,1,2,1,2,1,2,10,1001,1,20,5,1,72,1
7,1,2,1,21,4,2,17,1705,1,51,11,1,69,4
8,1,5,4,7,2,2,10,1002,1,40,9,1,75,3
9,1,6,5,15,3,1,20,2001,1,49,10,1,75,3
10,1,6,5,1,1,1,1,101,1,49,10,1,69,4
11,1,7,6,15,3,1,1,108,1,74,15,1,75,3
12,1,7,6,18,4,2,19,1901,1,32,7,1,69,4
13,1,7,6,10,2,2,10,1004,1,28,6,1,75,3
14,1,9,1,11,2,2,5,509,1,35,8,1,75,3
15,1,9,1,16,3,2,17,1707,1,27,6,1,75,3
16,1,10,2,17,3,2,5,501,1,56,12,1,75,3
17,1,10,2,19,4,2,6,606,1,31,7,1,75,3
18,1,10,2,14,3,2,17,1704,1,59,12,1,75,3
19,1,10,2,14,3,2,17,1704,1,59,12,1,75,3
20,1,11,3,20,4,1,1,101,1,54,11,1,75,3
21,1,11,3,20,4,1,1,101,1,54,11,1,75,3
22,1,11,3,15,3,2,5,504,1,40,9,1,75,3
23,1,7,3,8,2,1,10,1001,1,40,9,1,75,3
24,1,12,4,10,2,1,1,101,1,62,13,1,69,4
25,1,13,5,7,2,1,1,101,1,39,8,1,69,4
26,1,13,5,6,2,1,1,101,1,38,8,1,75,3
27,1,13,5,15,3,2,19,1905,1,53,11,1,75,3
28,1,13,5,8,2,2,15,1501,1,46,10,1,75,3
29,1,14,6,9,2,1,1,101,1,56,12,1,69,4
30,1,14,6,23,4,2,20,2009,1,26,6,1,69,4
31,1,15,7,10,2,2,12,1220,1,60,13,1,75,3
32,1,16,1,1,1,1,1,113,1,46,10,1,69,4
33,1,16,1,17,3,1,1,103,1,39,8,1,75,3
34,1,16,1,6,2,2,5,506,1,41,9,1,69,4
35,1,16,1,6,2,2,5,506,1,41,9,1,69,4
36,1,16,1,21,4,2,18,1801,1,31,7,1,69,4
37,1,16,1,10,2,2,4,408,1,38,8,1,69,4
39,1,17,2,12,3,1,1,108,1,43,9,1,75,3
40,1,17,2,15,3,2,22,2201,1,40,9,1,69,4
41,1,17,2,20,4,2,19,1907,1,47,10,1,69,4
42,1,17,2,23,4,2,6,602,1,59,12,1,69,4
43,1,17,2,23,4,2,6,602,1,36,8,1,69,4
44,1,17,2,19,4,2,16,1610,1,47,10,1,72,1
45,1,18,3,13,3,1,1,101,1,25,6,1,72,1
46,1,18,3,13,3,1,1,101,1,25,6,1,72,1
47,1,18,3,20,4,1,9,901,1,52,11,1,69,4
48,1,18,3,14,3,2,16,1613,1,51,11,1,72,1
49,1,19,4,11,2,1,1,101,1,31,7,1,75,3
50,1,19,4,11,2,1,1,101,1,31,7,1,75,3
51,1,19,4,11,2,2,1,115,1,45,10,1,75,3
52,1,19,4,13,3,2,5,509,1,25,6,1,75,3
53,1,19,4,7,2,2,17,1701,1,32,7,1,75,3
54,1,19,4,17,3,2,20,2011,1,51,11,1,75,3
55,1,19,4,2,1,2,4,401,1,40,9,1,69,4
56,1,20,5,19,4,1,1,101,1,48,10,1,75,3
57,1,18,5,10,2,2,21,2106,1,64,13,1,75,3
58,1,18,5,19,4,2,19,1902,1,29,6,1,75,3
59,1,20,5,16,3,2,16,1609,1,29,6,1,75,3
60,1,21,6,10,2,1,1,101,1,29,6,1,75,3
61,1,21,6,13,3,1,1,108,1,46,10,1,69,4
62,1,21,6,3,1,1,1,108,1,22,5,1,69,4
63,1,22,7,16,3,1,1,101,2,29,6,1,75,3
64,1,22,7,20,4,2,17,1711,1,81,17,1,75,3
65,1,23,1,7,2,1,1,115,1,22,5,1,69,4
66,1,23,1,12,3,2,17,1708,2,31,7,1,75,3
67,1,23,1,17,3,2,20,2001,1,28,6,1,75,3
